COMPANY_NAME,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
GENERAL ELECTRIC,376078832.7,436312215.8,395231362.9,489268343.1,355152728.8,436818492.3,402130193.7,491611609.8,353383675.4,365194918.3,311542136.1
GOOGLE,151703916.6,189847902.9,181715331,217251468.4,177224033.8,212114553.1,202119183,230829722.3,185428222.4,225100144.8,228852432.7
"WELLS FARGO BANK, N.A.",148237363.9,171381612.5,162583934.1,202683894.6,156553965.7,192493167.9,173503667.1,209191783.9,165870911.8,185238273.5,158086869.2
BANK OF AMERICA,166813856.1,193325788.3,178344569.7,228042182.7,155081109.5,164479042.6,148410821.1,187828770.9,136718137.9,160395459,140725468.8
"PFIZER, INC.",155783033.5,177782670.2,155734824.3,186581854.6,142225297.5,167854991.5,156844337,193464415.2,149185690.1,183308942.6,168529878.2
THE BOEING COMPANY,179815369,199645937.1,186016493.7,195040309.7,163667630.8,154843062,134016925.7,137518547.2,129744374.6,145780055.6,139612005.8
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",84455317.62,111976353.9,114011599.1,180555806.3,161551731.3,188479889.4,164770915.4,206438968.7,166805801.2,198790620.6,175844358.9
BAYER,115927813.4,143723264.2,126858376.4,149882437.1,109496679,145790129,131465246.5,172334608.2,139110089.1,167201376.1,158639716.3
"CITIGROUP TECHNOLOGY, INC.",129263774.3,148352181.5,139271632.4,153740991.2,111701566.7,119468370.7,108367835.3,138233119.6,115083418.2,134656536.7,121342574.4
ERICSSON AB,118004407.4,124169708.6,120076054.2,156990990.9,118960415.9,147653233.9,114546281.8,146328254.9,110140455.9,123624961.9,108457538.6
"HONEYWELL INTERNATIONAL, INC.",108286637.3,121573540.7,116612656.8,122036842.8,102617316.6,115380180.3,101002479.3,121209397,112258862.2,132301451.4,119862786.5
INTEL CORPORATION,79516142.81,96651032.72,102594573.6,123150448.3,110408499.9,122845614.4,106431362.2,136278910.9,116969646.7,99181226.48,65293732.24
EMC CORPORATION,83966220.59,110120401.7,95273343.01,106525458.8,85272291.34,102513808.9,89680332.52,97780400.65,77757928.81,100946101.8,99935694.35
DELL COMPUTER CORPORATION,84677168.1,93495419.38,82484120.89,88007433.56,91100815.3,95186405.62,86380108.04,90407979.32,87290344.76,89142716.96,85554229.47
ABBOTT LABORATORIES,77266020.55,91702669.13,85927672.67,97392571.26,75510727.78,90519006.77,81316463.56,90795390.8,76587498.98,87875792.14,77426066.07
PHILIPS ELECTRONICS NETHERLAND B.V,87668272.44,92374604.95,85788852.29,97674413.86,73371348.08,79416839.01,74700242.11,87799419.3,74995993.71,84431323.8,71373646.15
"SALESFORCE.COM, INC.",56799313.56,72597049.39,81232300.05,86569792.56,81995905.86,105266347.2,79268453.36,87665151.11,87236154.87,116561937.3,97345717.19
UNITEDHEALTH GROUP,66104526.91,81728701.56,71725878.75,81172341.79,72565433.32,86939880.15,88104584.17,100710238.8,89312017.39,90113415.29,81924692.64
DB USA CORE CORPORATION,75084441.74,92587090.91,84344045.7,90393569.86,71975002.57,81397029.36,70866678.44,79699588.47,68122153.48,75403539.07,70623426.01
"ABBVIE, INC",61973839.09,78670393.52,70474922.99,92249908.33,71471784.19,83847174.98,70865412,92502940.46,71880821.58,85165196.02,74592968.54
FORD MOTOR COMPANY,72139966.38,79923183.98,71635708.11,78363303.29,65041468.45,78201846.71,72347429.52,78070802.81,63578596.4,75958409.01,72279918.72
ECOLAB,75776958.94,76962686.57,70853329.09,73200713.74,63868138.02,74111340.65,66005556.31,72508678.7,66227937.88,77650675.43,68134920.69
NORTHROP GRUMMAN SYSTEMS CORPORATION,64765881.69,71372416.08,67725477.66,69712074.72,61901181.93,70604065.55,67273598.38,74214844.03,66672220.02,79175766.82,76378420.16
CREDIT SUISSE SECURITIES (USA) LLC AKA CREDIT SUISSE,67145998.68,78284655.76,69920947.94,85379690.24,63752250.68,62940570.28,54328281.29,67510742.75,54443395.43,60481224.67,52907301.56
NOVO NORDISK A/S,57394196.79,69984994.62,63796891.62,77081175.49,59540678.36,77159104.86,61706259.61,59768638.57,47531576.57,62994982.03,62788292.52
"FRITOLAY (PEPSICO, INC.)",54136234.26,73679568.46,65073178.35,78088391.56,35234475.96,51611370.96,61417245.22,96056469.67,55724162.43,71049584.96,76186823.67
BAE SYSTEMS PLC,29747147.59,34557085.81,69221374.17,80224624.31,73148934.97,70664452.12,68352184.04,74709215.21,67401408.05,63859660.05,67231611.1
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",57478650.29,64159618.29,61169864.79,63581387.95,58735007.58,63136994.18,56662303.97,61143255.05,62033287.94,69056142.87,64307947.05
"BAKER HUGHES OILFIELD OPERATIONS, INC.",94560340.61,73537199.72,68253322.13,62058835.63,50296039.67,45361586.06,40948468.35,45694527.03,46996303.16,53050060.93,53178192.81
AMGEN INC.,45726099.95,52327271.88,49772810.7,62528400.76,53810662.91,67620316.54,58554957.61,72907543.43,58685195.9,70612906.42,57377523.85
BRISTOL-MYERS SQUIBB,47082630.32,61714741.21,52308458.66,64500796.25,53202747.84,64527231.78,54885621.86,66695472.54,51420321.06,60052555.24,51913551.37
PG & E CORPORATION,55780010.05,61710471.03,58465448.16,61504911.83,47609873.67,57263111.33,55165522.61,58821061.51,38782386.24,40237112.51,37191040.99
"SYNGENTA CROP PROTECTION, LLC.",48379016.06,50127381.5,50749837.73,62516453.31,47774616.58,51182900.97,52780778.7,67086698.1,56328575.02,59580819.63,58360144.94
BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG,45758114.95,64466674.11,52951827.22,60902004.97,46324059.04,54811956.52,48826412.29,54536672.6,51318741.07,64840429.2,54287681.79
MORGAN STANLEY & CO. LLC,50943728.9,59190744.16,55704720.32,71041591.35,43224637.74,47102862.85,43952440.26,62483211.87,43424921.07,49580602.06,45328073.32
BOSTON SCIENTIFIC CORPORATION,36009427.64,48561873.79,47235735.9,55716740.55,47608871.38,56571483.37,56020370.49,67809114.56,55937631.69,60195586.03,53252324.89
NORDSTROM,48743293.74,56050973.09,64011018.44,52521702.57,50310605.89,48020939.71,49294211.91,54799296.18,42894461.91,44289214.53,44065288.12
EATON CORP,52888967.76,59115313.21,48056295.55,47527918.78,45719898.24,52760441.7,48367139.84,43216695.07,45816372.42,58150009.74,44820565.87
GENENTECH INC,39927906.01,50013258.24,43906612.3,57971989.88,44550352.63,51609887.53,48029136.83,61222880.95,45636244.14,54395345,45556408.31
AMERICAN EXPRESS – CTE,47875649.21,54975002.89,49558275.01,63198271.48,41664639.58,41760041.16,40777090.5,59213433.02,41246815.59,46103237.89,36989031.98
