COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
1010DATA SERVICES LLC_US,Americas,376604.07,671529.33,571141.14,584246.42,458677.48,588502.07,469994.3,625990.31,667435.61,967579.07,854848.51,6836548.31
1010DATA SERVICES LLC_US,EMEA,0,0,0,0,0,0,0,0,0,0,12.78,12.78
"1-800 CONTACTS, INC.",Americas,672293.88,664041.69,703815.22,706684.17,634633.33,594848.65,639885.92,796395.22,486707.82,629214.38,582043.9,7110564.18
19 ENTERTAINMENT INC,Americas,136590.4,162900.25,143943.23,129730.1,111342.02,121183.26,127686.06,137849.88,88744.69,40743.98,24617.62,1225331.49
1ST FRANKLIN FINANCIAL CORPORATION,Americas,229705.39,240554.72,286650.77,218720.94,344440.92,264396.77,289038.59,245862.84,293210,417511.76,356632.09,3186724.79
21ST CENTURY FOX (FKA FOX NETWORK GROUP),Americas,6625043.35,7604893.88,6214867.29,7278367.37,7427658.27,8710859.53,7537210.1,9203794.23,10126439.42,11154527.57,9871941.95,91755602.96
24/7 REAL MEDIA INC,Americas,440296.74,756869.73,628311.83,794254.88,472242.91,506991.86,517543.96,600704.68,416957.32,320181.9,304569.18,5758924.99
2ND WATCH,Americas,248134.36,426973.62,498549.32,534120.81,396018.07,423992.26,464696.31,622878.4,497475.81,574021.14,512495.84,5199355.94
365 OPERATING COMPANY LLC,Americas,237989.01,183652.97,178863.76,166304.18,189381.8,161124.91,105623,131829.55,85812.13,82477.64,86481.62,1609540.57
3CINTERACTIVE CORP,Americas,91627.47,88393.93,116251.1,101786.11,100708.13,96818.14,85136.35,88711.29,124573.07,95328.78,105236.46,1094570.83
"3M TOUCH SYSTEMS, INC.",Americas,91485.74,92590.76,98975.46,95967.29,90729.8,83032.95,56212.7,79956.29,119805.26,94796.17,74295.11,977847.53
3P LEARNING PTY LTD,Americas,23795.05,30276.5,32680.18,33429.16,35660.77,44251.53,31710.91,48794.75,20812.74,30463.2,18386.46,350261.25
3P LEARNING PTY LTD,APAC,32675.33,23301.24,41481.32,61402.08,58778.69,32878.37,34203.79,18559.43,6610.23,18880.26,12293.41,341064.15
47 BRAND,Americas,285172.91,288317.26,287531.02,382510.23,369660.8,381808.73,507360.18,458295.93,469543.58,492041.45,589987.68,4512229.77
4NET TECHNOLOGIES LTD,EMEA,56107.05,38968.7,59102.94,48179.67,54167.81,58265.9,48834.74,49103.5,66619.52,45307.34,71970.59,596627.76
"638 BREWING COMPANY, INC.",Americas,44352.37,41592.45,46487.86,50241.26,60099.86,70880.61,71524.66,55691.9,73339.17,59149.72,66818.42,640178.28
"8X8, INC.",Americas,422359.48,586149.97,584240.97,707182.95,659604.94,764443.26,826673.07,1104714.1,1088335.23,1385223.01,1207513.61,9336440.59
