company_name,entry_region,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
1010DATA SERVICES LLC_US,Americas,365831.57,662458.97,562394.8,583936.52,458677.48,583542.93,457400.77,623560.21,665626.86,963247.59,854793.67
1010DATA SERVICES LLC_US,APAC,18.65,0,0,0,0,0,921.3,0,0,457.71,0
1010DATA SERVICES LLC_US,EMEA,10753.85,9070.36,8746.34,309.9,0,4959.14,11672.23,2430.1,1808.75,3873.77,67.62
"1-800 CONTACTS, INC.",Americas,667631.94,664041.69,701156.06,706091.76,634370.16,591723.15,639419.99,795796.21,486446.68,629214.38,582043.9
"1-800 CONTACTS, INC.",APAC,0,0,0,438.04,263.17,0,0,272.81,67.05,0,0
"1-800 CONTACTS, INC.",EMEA,4661.94,0,2659.16,154.37,0,3125.5,465.93,326.2,194.09,0,0
19 ENTERTAINMENT INC,Americas,135841.33,158323.29,143872.19,129566.47,111342.02,121183.26,127670.98,129619.64,88544.27,40743.98,24617.62
19 ENTERTAINMENT INC,APAC,0,0,0,0,0,0,0,8074.66,200.42,0,0
19 ENTERTAINMENT INC,EMEA,749.07,4576.96,71.04,163.63,0,0,15.08,155.58,0,0,0
1ST FRANKLIN FINANCIAL CORPORATION,Americas,229705.39,240554.72,286650.77,218720.94,344440.92,264396.77,289038.59,245862.84,293210,417511.76,356632.09
21ST CENTURY FOX (FKA FOX NETWORK GROUP),Americas,6450014.17,7388897.76,5982534.97,7060985.87,7256890.14,8316695.96,7257450.65,8737961.81,9793614.44,10700097.09,9465244.09
21ST CENTURY FOX (FKA FOX NETWORK GROUP),APAC,11575.72,9268.31,22194.78,44644.65,6956.61,61750.28,34108.4,43535.77,49844.21,109123.33,74297.1
21ST CENTURY FOX (FKA FOX NETWORK GROUP),EMEA,162483.68,206496.99,209919.05,171743.17,163607.09,331326.01,234839.54,417206.57,271478.35,341485.55,324646.9
21ST CENTURY FOX (FKA FOX NETWORK GROUP),NULL,969.78,230.82,218.49,993.68,204.43,1087.28,10811.51,5090.08,11502.42,3821.6,7753.86
24/7 REAL MEDIA INC,Americas,429245.97,719514.79,574139.84,773855.37,453114.32,473438.12,492140.07,578841.2,398375.53,305931.56,285731.6
24/7 REAL MEDIA INC,APAC,1889.51,4250.09,9518.41,532.39,4901.33,2370.13,12132.15,3176.23,675.11,4278.79,4184.64
24/7 REAL MEDIA INC,EMEA,9161.26,33104.85,44653.58,19867.12,14227.26,31183.61,13271.74,18687.25,17906.68,9971.55,14652.94
2ND WATCH,Americas,247465.23,426668.04,498549.32,527673.13,391377.44,423985.1,464696.31,620664.88,497399.83,571610.03,510655.3
2ND WATCH,APAC,0,69.88,0,3806.47,3862.23,0,0,2213.52,0,2160.63,1840.54
2ND WATCH,EMEA,669.13,235.7,0,2641.21,778.4,7.16,0,0,75.98,250.48,0
365 OPERATING COMPANY LLC,Americas,237989.01,183652.97,178863.76,166304.18,189381.8,161124.91,105623,131829.55,85812.13,82477.64,86481.62
3CINTERACTIVE CORP,Americas,91627.47,88393.93,116193.93,101786.11,100708.13,96818.14,83425.84,88711.29,124573.07,93323.62,105236.46
3CINTERACTIVE CORP,EMEA,0,0,57.17,0,0,0,1710.51,0,0,2005.16,0
"3M TOUCH SYSTEMS, INC.",Americas,83860.95,78578.67,87411.17,82974.25,72282.64,74821.07,54252.33,66243.74,97202.78,88890.95,72630.28
"3M TOUCH SYSTEMS, INC.",APAC,7624.79,14012.09,11564.29,12993.04,17275.61,5089.35,1417.73,13712.55,20758.66,3516.5,1664.83
"3M TOUCH SYSTEMS, INC.",EMEA,0,0,0,0,1171.55,3122.53,116.13,0,1843.82,2388.72,0
"3M TOUCH SYSTEMS, INC.",NULL,0,0,0,0,0,0,426.51,0,0,0,0
3P LEARNING PTY LTD,Americas,23795.05,30286.5,32680.18,33444.46,35660.77,44251.53,29180.5,41122.37,20812.74,23553.67,18386.46
3P LEARNING PTY LTD,APAC,32675.33,23291.24,41481.32,61386.78,58778.69,32531.57,35173.54,24208.81,6610.23,23538.04,12293.41
3P LEARNING PTY LTD,EMEA,0,0,0,0,0,346.8,1560.66,2023,0,2251.75,0
47 BRAND,Americas,281556.86,288317.26,287505.88,382510.23,364033.79,378860.57,503417.39,455758.44,468739.42,489337.22,586698.72
47 BRAND,APAC,3616.05,0,25.14,0,2921.03,20.8,2244.91,886.8,0,0,2428.55
47 BRAND,EMEA,0,0,0,0,2705.98,2927.36,1697.88,1650.69,804.16,2704.23,860.41
4NET TECHNOLOGIES LTD,Americas,15.27,15.18,20.34,15.2,5.06,15.16,15.32,25.43,205.83,1036.82,56.53
4NET TECHNOLOGIES LTD,EMEA,56091.78,38953.52,59082.6,48164.47,54162.75,58250.74,48819.42,49078.07,66413.69,44270.52,71914.06
"638 BREWING COMPANY, INC.",Americas,44352.37,41592.45,46472.34,50241.26,60099.86,70880.61,71524.66,55691.9,73339.17,59149.72,66818.42
"638 BREWING COMPANY, INC.",EMEA,0,0,15.52,0,0,0,0,0,0,0,0
"8X8, INC.",Americas,419473.98,564183.02,561137.7,641708.17,606861.27,711352.96,785786.38,993125.38,1011341.13,1269918.5,1115786.29
"8X8, INC.",APAC,0,0,6365.71,19592.28,23605.19,20011.83,22225.66,57235.19,28321.45,54622.11,14592.93
"8X8, INC.",EMEA,2885.5,21966.95,16737.56,45882.5,29138.48,33078.47,18661.03,54353.53,48672.65,60682.4,77134.39
95 PERCENT GROUP_US,Americas,69186.59,67874.29,123354.34,175690.55,187773.38,134075.99,180063.12,212382.34,207956.94,158685.14,144432.7
A & D ENGINEERING,Americas,143895.7,143282.24,148596.19,122022.62,162008.67,139539.95,111210.95,144381.12,150653.32,190090.3,183026.12
A & D ENGINEERING,APAC,1046.55,0,10905.33,2643.95,299.83,4179.74,5068.67,4937.84,2412.71,4270.71,4445.66
